Not using distributed mode
git:
  sha: 85b8696e6a0ce62526bd5f21358c671dcf69dc24, status: has uncommited changes, branch: main

Namespace(aux_loss=True, backbone='resnet101', batch_size=16, bbox_loss_coef=5, clip_max_norm=0.1, coco_panoptic_path=None, coco_path='/data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/50p', cons_loss=False, cons_loss_coef=10, data_augment=True, dataset_file='rsna', dec_layers=6, device='cuda', dice_loss_coef=1, dilation=False, dim_feedforward=2048, dist_url='env://', distributed=False, dropout=0.1, enc_layers=6, eos_coef=0.1, epochs=111, eval=False, frozen_weights=None, generate_pseudo_bbox=False, giou_loss_coef=2, hidden_dim=256, load_from='', lr=0.0001, lr_backbone=1e-05, lr_drop=[72, 96], mask_loss_coef=1, masks=False, nheads=8, num_queries=100, num_workers=16, output_dir='/data/sundeep/Point-Beyond-Class/Output/outfiles/models/RSNA/exp4_stage1_data50p_1pts_Erase20_jit005_unlabelLossL2Loss50_Load2ptsconsPth_resnet101', partial=50, position_embedding='v4', pre_norm=True, remove_difficult=False, resume='', sample_points_num=1, save_csv=None, save_evaltxt_forDraw=False, seed=42, set_cost_bbox=5, set_cost_class=1, set_cost_giou=2, start_epoch=0, start_sample_UnSupImg=80, train_with_unlabel_imgs=True, unlabel_cons_loss_coef=50.0, val_data='val', weight_decay=0.0001, world_size=1)
weight dict ..  {'loss_ce': 1, 'loss_bbox': 5, 'loss_giou': 2, 'loss_unlabelcons': 50.0, 'loss_ce_0': 1, 'loss_bbox_0': 5, 'loss_giou_0': 2, 'loss_unlabelcons_0': 50.0, 'loss_ce_1': 1, 'loss_bbox_1': 5, 'loss_giou_1': 2, 'loss_unlabelcons_1': 50.0, 'loss_ce_2': 1, 'loss_bbox_2': 5, 'loss_giou_2': 2, 'loss_unlabelcons_2': 50.0, 'loss_ce_3': 1, 'loss_bbox_3': 5, 'loss_giou_3': 2, 'loss_unlabelcons_3': 50.0, 'loss_ce_4': 1, 'loss_bbox_4': 5, 'loss_giou_4': 2, 'loss_unlabelcons_4': 50.0}
number of params: 60233992
dataset path: 
 /data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/50p/instances_trainBox.json
loading annotations into memory...
Done (t=0.02s)
creating index...
index created!
=====> training with unlabeled imgs (point annotation)
loading annotations into memory...
Done (t=0.07s)
creating index...
index created!
=====> /data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/100p/instances_trainBox.json
sample points num ..  1
dataset path: 
 /data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/50p/../instances_val.json
loading annotations into memory...
Done (t=0.01s)
creating index...
index created!
sample points num ..  1
training data:
num:  4809
sample:  5 (tensor([[[-1.9809, -1.9809, -1.9809,  ..., -2.0494, -2.0665, -2.1008],
         [-1.9638, -1.9638, -1.9638,  ..., -2.0323, -2.0665, -2.1008],
         [-1.9809, -1.9809, -1.9809,  ..., -2.0323, -2.0494, -2.0837],
         ...,
         [ 0.6563,  0.7248,  0.7077,  ..., -1.9467, -1.9295, -2.0494],
         [ 0.6049,  0.6734,  0.6563,  ..., -1.9295, -1.9467, -2.0494],
         [-0.7650, -0.7650, -0.7650,  ..., -2.0152, -2.0323, -2.0837]],

        [[-1.8957, -1.8957, -1.8957,  ..., -1.9657, -1.9832, -2.0182],
         [-1.8782, -1.8782, -1.8782,  ..., -1.9482, -1.9832, -2.0182],
         [-1.8957, -1.8957, -1.8957,  ..., -1.9482, -1.9657, -2.0007],
         ...,
         [ 0.8004,  0.8704,  0.8529,  ..., -1.8606, -1.8431, -1.9657],
         [ 0.7479,  0.8179,  0.8004,  ..., -1.8431, -1.8606, -1.9657],
         [-0.6527, -0.6527, -0.6527,  ..., -1.9307, -1.9482, -2.0007]],

        [[-1.6650, -1.6650, -1.6650,  ..., -1.7347, -1.7522, -1.7870],
         [-1.6476, -1.6476, -1.6476,  ..., -1.7173, -1.7522, -1.7870],
         [-1.6650, -1.6650, -1.6650,  ..., -1.7173, -1.7347, -1.7696],
         ...,
         [ 1.0191,  1.0888,  1.0714,  ..., -1.6302, -1.6127, -1.7347],
         [ 0.9668,  1.0365,  1.0191,  ..., -1.6127, -1.6302, -1.7347],
         [-0.4275, -0.4275, -0.4275,  ..., -1.6999, -1.7173, -1.7696]]]), {'labels': tensor([1, 1]), 'object_ids': tensor([0, 1]), 'points': tensor([[0.3183, 0.2749],
        [0.5916, 0.6803]])}, {'boxes': tensor([[0.2310, 0.5317, 0.3096, 0.5264],
        [0.6040, 0.5762, 0.2510, 0.4512]])}, '000000.jpg', False)
====================================================================================================
using MyBalancedSampler and  50\% data.
====================================================================================================
Start training (Hypothesis 1: ResNet101 backbone)
epoch imgs: 4800
Epoch: [0]  [  0/300]  eta: 0:12:41  lr: 0.000100  loss: 5.1256 (5.1256)  loss_bbox: 3.1487 (3.1487)  loss_giou: 1.6522 (1.6522)  loss_unlabelcons: 0.3247 (0.3247)  time: 2.5372  data: 1.4830  max mem: 7856
Epoch: [0]  [ 10/300]  eta: 0:05:44  lr: 0.000100  loss: 3.6951 (3.8108)  loss_bbox: 2.1039 (2.1968)  loss_giou: 1.4706 (1.4642)  loss_unlabelcons: 0.1338 (0.1498)  time: 1.1888  data: 0.1522  max mem: 9197
Epoch: [77]  [ 60/300]  eta: 0:04:04  lr: 0.000010  loss: 2.4573 (2.3625)  loss_bbox: 1.2923 (1.2079)  loss_giou: 1.0906 (1.0712)  loss_unlabelcons: 0.0817 (0.0834)  time: 1.0143  data: 0.0241  max mem: 10773
Epoch: [77]  [ 70/300]  eta: 0:03:52  lr: 0.000010  loss: 2.3732 (2.3333)  loss_bbox: 1.1782 (1.1887)  loss_giou: 1.0906 (1.0606)  loss_unlabelcons: 0.0850 (0.0840)  time: 0.9346  data: 0.0269  max mem: 10773
Epoch: [77]  [ 80/300]  eta: 0:03:40  lr: 0.000010  loss: 2.2785 (2.3481)  loss_bbox: 1.1373 (1.2014)  loss_giou: 1.0800 (1.0636)  loss_unlabelcons: 0.0759 (0.0831)  time: 0.9605  data: 0.0334  max mem: 10773
Epoch: [77]  [ 90/300]  eta: 0:03:30  lr: 0.000010  loss: 2.4322 (2.3626)  loss_bbox: 1.2350 (1.2084)  loss_giou: 1.0944 (1.0697)  loss_unlabelcons: 0.0726 (0.0845)  time: 0.9647  data: 0.0241  max mem: 10773
Epoch: [77]  [100/300]  eta: 0:03:17  lr: 0.000010  loss: 2.3120 (2.3553)  loss_bbox: 1.1446 (1.2055)  loss_giou: 1.0521 (1.0645)  loss_unlabelcons: 0.0796 (0.0853)  time: 0.9312  data: 0.0270  max mem: 10773
Epoch: [77]  [110/300]  eta: 0:03:06  lr: 0.000010  loss: 2.4267 (2.3823)  loss_bbox: 1.2591 (1.2200)  loss_giou: 1.0864 (1.0754)  loss_unlabelcons: 0.0796 (0.0869)  time: 0.8823  data: 0.0236  max mem: 10773
Epoch: [77]  [120/300]  eta: 0:02:55  lr: 0.000010  loss: 2.4872 (2.3822)  loss_bbox: 1.2442 (1.2188)  loss_giou: 1.1245 (1.0777)  loss_unlabelcons: 0.0719 (0.0857)  time: 0.9122  data: 0.0245  max mem: 10773
Epoch: [77]  [130/300]  eta: 0:02:46  lr: 0.000010  loss: 2.3381 (2.3811)  loss_bbox: 1.1913 (1.2163)  loss_giou: 1.1022 (1.0795)  loss_unlabelcons: 0.0678 (0.0853)  time: 0.9886  data: 0.0347  max mem: 10773
Epoch: [77]  [140/300]  eta: 0:02:37  lr: 0.000010  loss: 2.3225 (2.3875)  loss_bbox: 1.1242 (1.2198)  loss_giou: 1.0909 (1.0823)  loss_unlabelcons: 0.0824 (0.0854)  time: 1.0266  data: 0.0242  max mem: 10773
Epoch: [77]  [150/300]  eta: 0:02:28  lr: 0.000010  loss: 2.2242 (2.3802)  loss_bbox: 1.1242 (1.2164)  loss_giou: 1.0459 (1.0787)  loss_unlabelcons: 0.0892 (0.0851)  time: 1.0488  data: 0.0267  max mem: 10773
Epoch: [77]  [160/300]  eta: 0:02:18  lr: 0.000010  loss: 2.2079 (2.3770)  loss_bbox: 1.1382 (1.2144)  loss_giou: 1.0459 (1.0773)  loss_unlabelcons: 0.0807 (0.0853)  time: 1.0011  data: 0.0334  max mem: 10773
Epoch: [77]  [170/300]  eta: 0:02:07  lr: 0.000010  loss: 2.4144 (2.3826)  loss_bbox: 1.1800 (1.2179)  loss_giou: 1.1056 (1.0795)  loss_unlabelcons: 0.0807 (0.0852)  time: 0.8813  data: 0.0237  max mem: 10773
Epoch: [77]  [180/300]  eta: 0:01:58  lr: 0.000010  loss: 2.4144 (2.3796)  loss_bbox: 1.1807 (1.2135)  loss_giou: 1.1179 (1.0808)  loss_unlabelcons: 0.0835 (0.0852)  time: 0.9823  data: 0.0269  max mem: 10773
Epoch: [77]  [190/300]  eta: 0:01:48  lr: 0.000010  loss: 2.2538 (2.3718)  loss_bbox: 1.1410 (1.2102)  loss_giou: 1.0494 (1.0772)  loss_unlabelcons: 0.0810 (0.0845)  time: 1.0406  data: 0.0238  max mem: 10773
Epoch: [77]  [200/300]  eta: 0:01:38  lr: 0.000010  loss: 2.2643 (2.3712)  loss_bbox: 1.1410 (1.2090)  loss_giou: 1.0485 (1.0776)  loss_unlabelcons: 0.0791 (0.0846)  time: 0.9669  data: 0.0233  max mem: 10773
Epoch: [77]  [210/300]  eta: 0:01:28  lr: 0.000010  loss: 2.3674 (2.3799)  loss_bbox: 1.2174 (1.2141)  loss_giou: 1.0808 (1.0811)  loss_unlabelcons: 0.0803 (0.0847)  time: 0.9374  data: 0.0339  max mem: 10773
Epoch: [77]  [220/300]  eta: 0:01:18  lr: 0.000010  loss: 2.4933 (2.3853)  loss_bbox: 1.2688 (1.2184)  loss_giou: 1.1184 (1.0822)  loss_unlabelcons: 0.0788 (0.0846)  time: 0.9492  data: 0.0242  max mem: 10773
Epoch: [77]  [230/300]  eta: 0:01:08  lr: 0.000010  loss: 2.4431 (2.3821)  loss_bbox: 1.2284 (1.2165)  loss_giou: 1.0904 (1.0814)  loss_unlabelcons: 0.0708 (0.0842)  time: 0.9979  data: 0.0261  max mem: 10773
Epoch: [77]  [240/300]  eta: 0:00:58  lr: 0.000010  loss: 2.3236 (2.3792)  loss_bbox: 1.1504 (1.2149)  loss_giou: 1.0862 (1.0800)  loss_unlabelcons: 0.0817 (0.0843)  time: 0.9446  data: 0.0334  max mem: 10773
Epoch: [77]  [250/300]  eta: 0:00:49  lr: 0.000010  loss: 2.3491 (2.3780)  loss_bbox: 1.1411 (1.2139)  loss_giou: 1.0771 (1.0803)  loss_unlabelcons: 0.0745 (0.0838)  time: 0.9630  data: 0.0245  max mem: 10773
Epoch: [77]  [260/300]  eta: 0:00:39  lr: 0.000010  loss: 2.3553 (2.3777)  loss_bbox: 1.2292 (1.2148)  loss_giou: 1.0657 (1.0795)  loss_unlabelcons: 0.0724 (0.0834)  time: 1.0015  data: 0.0276  max mem: 10773
Epoch: [77]  [270/300]  eta: 0:00:29  lr: 0.000010  loss: 2.3677 (2.3778)  loss_bbox: 1.2292 (1.2142)  loss_giou: 1.0797 (1.0806)  loss_unlabelcons: 0.0742 (0.0830)  time: 1.0213  data: 0.0241  max mem: 10773
Epoch: [77]  [280/300]  eta: 0:00:19  lr: 0.000010  loss: 2.3739 (2.3780)  loss_bbox: 1.1695 (1.2146)  loss_giou: 1.0906 (1.0809)  loss_unlabelcons: 0.0718 (0.0825)  time: 1.0147  data: 0.0238  max mem: 10773
Epoch: [77]  [290/300]  eta: 0:00:09  lr: 0.000010  loss: 2.1537 (2.3733)  loss_bbox: 1.0826 (1.2110)  loss_giou: 1.0371 (1.0794)  loss_unlabelcons: 0.0732 (0.0830)  time: 0.9989  data: 0.0336  max mem: 10773
Epoch: [77]  [299/300]  eta: 0:00:00  lr: 0.000010  loss: 2.1814 (2.3764)  loss_bbox: 1.0751 (1.2129)  loss_giou: 1.0443 (1.0805)  loss_unlabelcons: 0.0856 (0.0830)  time: 1.0439  data: 0.0228  max mem: 10773
Epoch: [77] Total time: 0:04:55 (0.9860 s / it)
Averaged stats: lr: 0.000010  loss: 2.1814 (2.3764)  loss_bbox: 1.0751 (1.2129)  loss_giou: 1.0443 (1.0805)  loss_unlabelcons: 0.0856 (0.0830)
epoch imgs: 4800
Epoch: [78]  [  0/300]  eta: 0:12:32  lr: 0.000010  loss: 2.6686 (2.6686)  loss_bbox: 1.5306 (1.5306)  loss_giou: 1.0694 (1.0694)  loss_unlabelcons: 0.0687 (0.0687)  time: 2.5075  data: 1.4735  max mem: 10773
Epoch: [78]  [ 10/300]  eta: 0:05:50  lr: 0.000010  loss: 2.4824 (2.4792)  loss_bbox: 1.3063 (1.3299)  loss_giou: 1.0694 (1.0811)  loss_unlabelcons: 0.0687 (0.0682)  time: 1.2071  data: 0.1574  max mem: 10773
Epoch: [78]  [ 20/300]  eta: 0:05:24  lr: 0.000010  loss: 2.2912 (2.3935)  loss_bbox: 1.1986 (1.2542)  loss_giou: 1.0605 (1.0655)  loss_unlabelcons: 0.0713 (0.0738)  time: 1.0924  data: 0.0322  max mem: 10773
Epoch: [78]  [ 30/300]  eta: 0:04:53  lr: 0.000010  loss: 2.2912 (2.3925)  loss_bbox: 1.1748 (1.2535)  loss_giou: 1.0649 (1.0677)  loss_unlabelcons: 0.0700 (0.0712)  time: 1.0207  data: 0.0252  max mem: 10773
Epoch: [78]  [ 40/300]  eta: 0:04:38  lr: 0.000010  loss: 2.4029 (2.3884)  loss_bbox: 1.2296 (1.2457)  loss_giou: 1.0921 (1.0696)  loss_unlabelcons: 0.0640 (0.0731)  time: 0.9746  data: 0.0240  max mem: 10773
Epoch: [78]  [ 50/300]  eta: 0:04:24  lr: 0.000010  loss: 2.3198 (2.3798)  loss_bbox: 1.2074 (1.2316)  loss_giou: 1.0900 (1.0729)  loss_unlabelcons: 0.0719 (0.0753)  time: 1.0143  data: 0.0358  max mem: 10773
Epoch: [78]  [ 60/300]  eta: 0:04:11  lr: 0.000010  loss: 2.3380 (2.3651)  loss_bbox: 1.1821 (1.2142)  loss_giou: 1.0900 (1.0726)  loss_unlabelcons: 0.0692 (0.0784)  time: 1.0073  data: 0.0241  max mem: 10773
Epoch: [78]  [ 70/300]  eta: 0:03:57  lr: 0.000010  loss: 2.4601 (2.3947)  loss_bbox: 1.2618 (1.2384)  loss_giou: 1.1413 (1.0773)  loss_unlabelcons: 0.0700 (0.0790)  time: 0.9629  data: 0.0250  max mem: 10773
Epoch: [78]  [ 80/300]  eta: 0:03:49  lr: 0.000010  loss: 2.4019 (2.3755)  loss_bbox: 1.2784 (1.2234)  loss_giou: 1.0414 (1.0712)  loss_unlabelcons: 0.0796 (0.0810)  time: 1.0175  data: 0.0251  max mem: 10773
Epoch: [78]  [ 90/300]  eta: 0:03:38  lr: 0.000010  loss: 2.3321 (2.3832)  loss_bbox: 1.1865 (1.2264)  loss_giou: 1.0654 (1.0752)  loss_unlabelcons: 0.0927 (0.0816)  time: 1.0678  data: 0.0242  max mem: 10773
Epoch: [78]  [100/300]  eta: 0:03:27  lr: 0.000010  loss: 2.3059 (2.3775)  loss_bbox: 1.1865 (1.2198)  loss_giou: 1.0654 (1.0735)  loss_unlabelcons: 0.0968 (0.0842)  time: 1.0303  data: 0.0361  max mem: 10773
Epoch: [78]  [110/300]  eta: 0:03:18  lr: 0.000010  loss: 2.3818 (2.3847)  loss_bbox: 1.2117 (1.2215)  loss_giou: 1.0743 (1.0798)  loss_unlabelcons: 0.0853 (0.0834)  time: 1.0591  data: 0.0241  max mem: 10773
Epoch: [78]  [120/300]  eta: 0:03:07  lr: 0.000010  loss: 2.5093 (2.3896)  loss_bbox: 1.2664 (1.2247)  loss_giou: 1.1256 (1.0809)  loss_unlabelcons: 0.0771 (0.0840)  time: 1.0555  data: 0.0242  max mem: 10773
Epoch: [78]  [130/300]  eta: 0:02:57  lr: 0.000010  loss: 2.4309 (2.3870)  loss_bbox: 1.2566 (1.2222)  loss_giou: 1.1053 (1.0821)  loss_unlabelcons: 0.0771 (0.0827)  time: 1.0570  data: 0.0360  max mem: 10773
Epoch: [78]  [140/300]  eta: 0:02:46  lr: 0.000010  loss: 2.3309 (2.3860)  loss_bbox: 1.1725 (1.2227)  loss_giou: 1.0631 (1.0804)  loss_unlabelcons: 0.0771 (0.0829)  time: 1.0384  data: 0.0238  max mem: 10773
Epoch: [78]  [150/300]  eta: 0:02:36  lr: 0.000010  loss: 2.3365 (2.3886)  loss_bbox: 1.1725 (1.2237)  loss_giou: 1.0869 (1.0811)  loss_unlabelcons: 0.0910 (0.0839)  time: 1.0203  data: 0.0246  max mem: 10773
Epoch: [78]  [160/300]  eta: 0:02:25  lr: 0.000010  loss: 2.4080 (2.3928)  loss_bbox: 1.1657 (1.2260)  loss_giou: 1.0965 (1.0832)  loss_unlabelcons: 0.0762 (0.0836)  time: 0.9979  data: 0.0247  max mem: 10773
Epoch: [78]  [170/300]  eta: 0:02:15  lr: 0.000010  loss: 2.3062 (2.3916)  loss_bbox: 1.1572 (1.2250)  loss_giou: 1.0773 (1.0840)  loss_unlabelcons: 0.0637 (0.0827)  time: 1.0530  data: 0.0239  max mem: 10773
Epoch: [78]  [180/300]  eta: 0:02:05  lr: 0.000010  loss: 2.2310 (2.3866)  loss_bbox: 1.0668 (1.2214)  loss_giou: 1.0461 (1.0824)  loss_unlabelcons: 0.0700 (0.0828)  time: 1.0922  data: 0.0386  max mem: 10773
Epoch: [78]  [190/300]  eta: 0:01:54  lr: 0.000010  loss: 2.2596 (2.3828)  loss_bbox: 1.1161 (1.2182)  loss_giou: 1.0508 (1.0824)  loss_unlabelcons: 0.0700 (0.0821)  time: 1.0337  data: 0.0269  max mem: 10773
Epoch: [78]  [200/300]  eta: 0:01:44  lr: 0.000010  loss: 2.3417 (2.3828)  loss_bbox: 1.1756 (1.2163)  loss_giou: 1.0959 (1.0833)  loss_unlabelcons: 0.0769 (0.0832)  time: 1.0758  data: 0.0242  max mem: 10773
Epoch: [78]  [210/300]  eta: 0:01:33  lr: 0.000010  loss: 2.4165 (2.3833)  loss_bbox: 1.2120 (1.2150)  loss_giou: 1.0979 (1.0853)  loss_unlabelcons: 0.0829 (0.0831)  time: 1.0126  data: 0.0358  max mem: 10773
Epoch: [78]  [220/300]  eta: 0:01:23  lr: 0.000010  loss: 2.3196 (2.3876)  loss_bbox: 1.2220 (1.2169)  loss_giou: 1.1261 (1.0875)  loss_unlabelcons: 0.0810 (0.0832)  time: 0.9711  data: 0.0239  max mem: 10773
Epoch: [78]  [230/300]  eta: 0:01:12  lr: 0.000010  loss: 2.2537 (2.3761)  loss_bbox: 1.1694 (1.2092)  loss_giou: 1.0510 (1.0841)  loss_unlabelcons: 0.0715 (0.0828)  time: 1.0100  data: 0.0249  max mem: 10773
Epoch: [78]  [240/300]  eta: 0:01:02  lr: 0.000010  loss: 2.1693 (2.3798)  loss_bbox: 1.1288 (1.2139)  loss_giou: 1.0509 (1.0833)  loss_unlabelcons: 0.0670 (0.0826)  time: 0.9750  data: 0.0250  max mem: 10773
Epoch: [78]  [250/300]  eta: 0:00:51  lr: 0.000010  loss: 2.4303 (2.3801)  loss_bbox: 1.2067 (1.2132)  loss_giou: 1.1047 (1.0848)  loss_unlabelcons: 0.0743 (0.0821)  time: 0.9878  data: 0.0244  max mem: 10773
Epoch: [78]  [260/300]  eta: 0:00:41  lr: 0.000010  loss: 2.4303 (2.3802)  loss_bbox: 1.2294 (1.2134)  loss_giou: 1.0743 (1.0846)  loss_unlabelcons: 0.0743 (0.0822)  time: 0.9838  data: 0.0364  max mem: 10773
Epoch: [78]  [270/300]  eta: 0:00:30  lr: 0.000010  loss: 2.3494 (2.3793)  loss_bbox: 1.2177 (1.2132)  loss_giou: 1.0741 (1.0840)  loss_unlabelcons: 0.0719 (0.0820)  time: 0.9463  data: 0.0242  max mem: 10773
Epoch: [78]  [280/300]  eta: 0:00:20  lr: 0.000010  loss: 2.3367 (2.3769)  loss_bbox: 1.1391 (1.2115)  loss_giou: 1.0685 (1.0836)  loss_unlabelcons: 0.0749 (0.0819)  time: 0.9531  data: 0.0235  max mem: 10773
Epoch: [78]  [290/300]  eta: 0:00:10  lr: 0.000010  loss: 2.3595 (2.3765)  loss_bbox: 1.1391 (1.2098)  loss_giou: 1.0687 (1.0844)  loss_unlabelcons: 0.0759 (0.0822)  time: 1.0162  data: 0.0320  max mem: 10773
Epoch: [78]  [299/300]  eta: 0:00:01  lr: 0.000010  loss: 2.3595 (2.3783)  loss_bbox: 1.1202 (1.2102)  loss_giou: 1.1007 (1.0858)  loss_unlabelcons: 0.0800 (0.0824)  time: 1.0015  data: 0.0207  max mem: 10773
Epoch: [78] Total time: 0:05:06 (1.0228 s / it)
Averaged stats: lr: 0.000010  loss: 2.3595 (2.3783)  loss_bbox: 1.1202 (1.2102)  loss_giou: 1.1007 (1.0858)  loss_unlabelcons: 0.0800 (0.0824)
epoch imgs: 4800
Epoch: [79]  [  0/300]  eta: 0:11:48  lr: 0.000010  loss: 2.3826 (2.3826)  loss_bbox: 1.2369 (1.2369)  loss_giou: 0.9973 (0.9973)  loss_unlabelcons: 0.1485 (0.1485)  time: 2.3626  data: 1.5742  max mem: 10773
Epoch: [79]  [ 10/300]  eta: 0:04:59  lr: 0.000010  loss: 2.4512 (2.3378)  loss_bbox: 1.1916 (1.1818)  loss_giou: 1.1003 (1.0861)  loss_unlabelcons: 0.0596 (0.0699)  time: 1.0321  data: 0.1616  max mem: 10773
Epoch: [79]  [ 20/300]  eta: 0:04:47  lr: 0.000010  loss: 2.4277 (2.3666)  loss_bbox: 1.1916 (1.1929)  loss_giou: 1.0586 (1.0979)  loss_unlabelcons: 0.0617 (0.0758)  time: 0.9604  data: 0.0274  max mem: 10773
Epoch: [79]  [ 30/300]  eta: 0:04:33  lr: 0.000010  loss: 2.3642 (2.3418)  loss_bbox: 1.1602 (1.1737)  loss_giou: 1.0556 (1.0906)  loss_unlabelcons: 0.0874 (0.0776)  time: 1.0053  data: 0.0239  max mem: 10773
Epoch: [79]  [ 40/300]  eta: 0:04:27  lr: 0.000010  loss: 2.3627 (2.3529)  loss_bbox: 1.1125 (1.1811)  loss_giou: 1.0584 (1.0934)  loss_unlabelcons: 0.0824 (0.0783)  time: 1.0298  data: 0.0233  max mem: 10773
Epoch: [79]  [ 50/300]  eta: 0:04:18  lr: 0.000010  loss: 2.2835 (2.3486)  loss_bbox: 1.1297 (1.1749)  loss_giou: 1.0774 (1.0918)  loss_unlabelcons: 0.0740 (0.0819)  time: 1.0608  data: 0.0329  max mem: 10773
Epoch: [79]  [ 60/300]  eta: 0:04:03  lr: 0.000010  loss: 2.2835 (2.3499)  loss_bbox: 1.1513 (1.1812)  loss_giou: 1.1105 (1.0889)  loss_unlabelcons: 0.0733 (0.0798)  time: 0.9836  data: 0.0242  max mem: 10773
Epoch: [79]  [ 70/300]  eta: 0:03:53  lr: 0.000010  loss: 2.3250 (2.3365)  loss_bbox: 1.1625 (1.1702)  loss_giou: 1.0807 (1.0849)  loss_unlabelcons: 0.0733 (0.0814)  time: 0.9655  data: 0.0260  max mem: 10773
Epoch: [79]  [ 80/300]  eta: 0:03:40  lr: 0.000010  loss: 2.3361 (2.3508)  loss_bbox: 1.1638 (1.1822)  loss_giou: 1.0615 (1.0856)  loss_unlabelcons: 0.0803 (0.0830)  time: 0.9750  data: 0.0328  max mem: 10773
Epoch: [79]  [ 90/300]  eta: 0:03:31  lr: 0.000010  loss: 2.3361 (2.3525)  loss_bbox: 1.1725 (1.1854)  loss_giou: 1.0489 (1.0831)  loss_unlabelcons: 0.0797 (0.0840)  time: 0.9837  data: 0.0235  max mem: 10773
Epoch: [79]  [100/300]  eta: 0:03:23  lr: 0.000010  loss: 2.4577 (2.3671)  loss_bbox: 1.2198 (1.1958)  loss_giou: 1.1180 (1.0873)  loss_unlabelcons: 0.0778 (0.0841)  time: 1.0836  data: 0.0301  max mem: 10773
Epoch: [79]  [110/300]  eta: 0:03:14  lr: 0.000010  loss: 2.4577 (2.3664)  loss_bbox: 1.1955 (1.1962)  loss_giou: 1.0690 (1.0868)  loss_unlabelcons: 0.0820 (0.0834)  time: 1.0941  data: 0.0278  max mem: 10773
Epoch: [79]  [120/300]  eta: 0:03:03  lr: 0.000010  loss: 2.2388 (2.3607)  loss_bbox: 1.1425 (1.1945)  loss_giou: 1.0542 (1.0826)  loss_unlabelcons: 0.0820 (0.0835)  time: 1.0265  data: 0.0238  max mem: 10773
Epoch: [79]  [130/300]  eta: 0:02:53  lr: 0.000010  loss: 2.2388 (2.3593)  loss_bbox: 1.1107 (1.1935)  loss_giou: 1.0542 (1.0822)  loss_unlabelcons: 0.0773 (0.0835)  time: 1.0180  data: 0.0328  max mem: 10773
Epoch: [79]  [140/300]  eta: 0:02:41  lr: 0.000010  loss: 2.5080 (2.3734)  loss_bbox: 1.2668 (1.2018)  loss_giou: 1.0718 (1.0870)  loss_unlabelcons: 0.0725 (0.0845)  time: 0.9236  data: 0.0234  max mem: 10773
Epoch: [79]  [150/300]  eta: 0:02:30  lr: 0.000010  loss: 2.5300 (2.3826)  loss_bbox: 1.2994 (1.2079)  loss_giou: 1.1415 (1.0905)  loss_unlabelcons: 0.0769 (0.0843)  time: 0.8973  data: 0.0265  max mem: 10773
Epoch: [79]  [160/300]  eta: 0:02:20  lr: 0.000010  loss: 2.4347 (2.3802)  loss_bbox: 1.2238 (1.2065)  loss_giou: 1.1332 (1.0904)  loss_unlabelcons: 0.0728 (0.0834)  time: 0.9975  data: 0.0337  max mem: 10773
Epoch: [79]  [170/300]  eta: 0:02:09  lr: 0.000010  loss: 2.3666 (2.3781)  loss_bbox: 1.2238 (1.2056)  loss_giou: 1.0595 (1.0898)  loss_unlabelcons: 0.0737 (0.0827)  time: 0.9324  data: 0.0241  max mem: 10773
Epoch: [79]  [180/300]  eta: 0:01:59  lr: 0.000010  loss: 2.3666 (2.3753)  loss_bbox: 1.2119 (1.2051)  loss_giou: 1.0695 (1.0875)  loss_unlabelcons: 0.0764 (0.0828)  time: 0.9519  data: 0.0274  max mem: 10773
Epoch: [79]  [190/300]  eta: 0:01:49  lr: 0.000010  loss: 2.2464 (2.3679)  loss_bbox: 1.1149 (1.1997)  loss_giou: 1.0569 (1.0853)  loss_unlabelcons: 0.0764 (0.0829)  time: 0.9914  data: 0.0249  max mem: 10773
Epoch: [79]  [200/300]  eta: 0:01:39  lr: 0.000010  loss: 2.2378 (2.3657)  loss_bbox: 1.1137 (1.1978)  loss_giou: 1.0603 (1.0852)  loss_unlabelcons: 0.0725 (0.0827)  time: 0.9868  data: 0.0239  max mem: 10773
Epoch: [79]  [210/300]  eta: 0:01:29  lr: 0.000010  loss: 2.2378 (2.3759)  loss_bbox: 1.1208 (1.2071)  loss_giou: 1.0729 (1.0853)  loss_unlabelcons: 0.0808 (0.0835)  time: 0.9998  data: 0.0336  max mem: 10773
Epoch: [79]  [220/300]  eta: 0:01:19  lr: 0.000010  loss: 2.2315 (2.3708)  loss_bbox: 1.1166 (1.2030)  loss_giou: 1.0344 (1.0840)  loss_unlabelcons: 0.0854 (0.0839)  time: 0.9893  data: 0.0241  max mem: 10773
Epoch: [79]  [230/300]  eta: 0:01:10  lr: 0.000010  loss: 2.3986 (2.3753)  loss_bbox: 1.1252 (1.2073)  loss_giou: 1.0452 (1.0843)  loss_unlabelcons: 0.0796 (0.0838)  time: 1.0755  data: 0.0261  max mem: 10773
Epoch: [79]  [240/300]  eta: 0:01:00  lr: 0.000010  loss: 2.5152 (2.3768)  loss_bbox: 1.2170 (1.2077)  loss_giou: 1.1529 (1.0848)  loss_unlabelcons: 0.0881 (0.0843)  time: 1.0771  data: 0.0332  max mem: 10773
